date_appel;Entite;Famille;Nombre_entrants_corrige
13/02/2019;Entite 5;F3;30
13/02/2019;Entite 5;F5;541
13/02/2019;Entite 5;F6;593
13/02/2019;Entite 5;F7;3585
14/02/2019;Entite 1;F1;3
14/02/2019;Entite 1;F2;169
14/02/2019;Entite 1;F3;280
14/02/2019;Entite 1;F5;82
14/02/2019;Entite 1;F6;1168
14/02/2019;Entite 1;F7;615
14/02/2019;Entite 2;F1;1372
14/02/2019;Entite 2;F2;990
14/02/2019;Entite 2;F3;305
14/02/2019;Entite 3;F2;31
14/02/2019;Entite 3;F5;352
14/02/2019;Entite 3;F7;693
14/02/2019;Entite 4;F5;44
14/02/2019;Entite 4;F7;489
14/02/2019;Entite 5;F1;28
14/02/2019;Entite 5;F2;719
14/02/2019;Entite 5;F3;37
14/02/2019;Entite 5;F5;476
14/02/2019;Entite 5;F6;531
14/02/2019;Entite 5;F7;3369
15/02/2019;Entite 1;F1;8
15/02/2019;Entite 1;F2;189
15/02/2019;Entite 1;F3;270
15/02/2019;Entite 1;F5;114
15/02/2019;Entite 1;F6;1305
15/02/2019;Entite 1;F7;664
15/02/2019;Entite 2;F1;1505
15/02/2019;Entite 2;F2;955
15/02/2019;Entite 2;F3;339
15/02/2019;Entite 3;F2;14
15/02/2019;Entite 3;F5;279
15/02/2019;Entite 3;F7;728
15/02/2019;Entite 4;F5;30
15/02/2019;Entite 4;F7;442
15/02/2019;Entite 5;F1;121
15/02/2019;Entite 5;F2;809
15/02/2019;Entite 5;F3;40
15/02/2019;Entite 5;F5;484
